,address,price,details,zipcode,lat,lng,zpid,link
113,670 Quincy Ave,"$2,175/m","2 bds 1.5 ba 1,200 sqft",90814,33.774864,-118.139053,21213973,https://www.zillow.com/homedetails/670-Quincy-Ave-Long-Beach-CA-90814/21213973_zpid/
114,901 Linden Ave APT 3,"$1,495/m",1 bd1 ba 581 sqft,90813,33.778002,-118.186733,21236761,https://www.zillow.com/homedetails/901-Linden-Ave-APT-3-Long-Beach-CA-90813/21236761_zpid/
115,850 E Ocean Blvd,"$2,695 1"," bd$4,000+ 2 bds $6,000 3 bds ",90802,33.765611,-118.182071,2130645092,https://www.zillow.com/homedetails/850-E-Ocean-Blvd-Long-Beach-CA-90802/2130645092_zpid/
116,5585 E Pacific Coast Hwy,"$1,450 S","tudio$1,595 1 bd",90804,33.776449,-118.123396,2112334432,https://www.zillow.com/homedetails/5585-E-Pacific-Coast-Hwy-Long-Beach-CA-90804/2112334432_zpid/
117,927 Gladys Ave,"$1,300/m",1 bd1 ba -- sqft,90804,33.778666,-118.157847,2085837737,https://www.zillow.com/homedetails/927-Gladys-Ave-Long-Beach-CA-90804/2085837737_zpid/
118,402 E 1st St UNIT 202,"$2,100/m",1 bd1 ba 800 sqft,90802,33.767868,-118.187452,2081570147,https://www.zillow.com/homedetails/402-E-1st-St-UNIT-202-Long-Beach-CA-90802/2081570147_zpid/
119,677 Ultimo Ave,"$3,495/m","2 bds 1.5 ba 1,600 sqft",90814,33.774896,-118.124453,2098470693,https://www.zillow.com/homedetails/677-Ultimo-Ave-Long-Beach-CA-90814/2098470693_zpid/
121,905 Gaviota Ave APT 03,"$1,795/m",2 bds 1 ba -- sqft,90813,33.77819,-118.171217,2098120080,https://www.zillow.com/homedetails/905-Gaviota-Ave-APT-03-Long-Beach-CA-90813/2098120080_zpid/
122,1435 E Ocean Boulevard  1435 E Ocean Blvd,"$1,150+ ",Studio,90802,33.765561,-118.173911,2089942820,https://www.zillow.com/homedetails/1435-E-Ocean-Blvd-APT-16-Long-Beach-CA-90802/2089942820_zpid/
123,939 E 2nd St,"$1,775/m",1 bd1 ba 900 sqft,90802,33.768464,-118.18138,2122846084,https://www.zillow.com/homedetails/939-E-2nd-St-Long-Beach-CA-90802/2122846084_zpid/
124,5065 Brayton Ave,"$2,800/m",2 bds 1 ba 861 sqft,90807,33.849205,-118.17576,21154609,https://www.zillow.com/homedetails/5065-Brayton-Ave-Long-Beach-CA-90807/21154609_zpid/
125,4219 N Virginia Rd,"$5,500/m","4 bds 4 ba 2,995 sqft",90807,33.833692,-118.192443,21161662,https://www.zillow.com/homedetails/4219-N-Virginia-Rd-Long-Beach-CA-90807/21161662_zpid/
126,6798 Lewis Ave,"$2,500/m","2 bds 2 ba 1,337 sqft",90805,33.878081,-118.179918,21147901,https://www.zillow.com/homedetails/6798-Lewis-Ave-Long-Beach-CA-90805/21147901_zpid/
127,388 E Ocean Blvd,"$2,100+ ","1 bd$4,500 3 bds ",90802,33.76665,-118.188,2110890991,https://www.zillow.com/homedetails/388-E-Ocean-Blvd-Long-Beach-CA-90802/2110890991_zpid/
129,2222 Eucalyptus Ave # 2222,"$1,600/m",1 bd1 ba -- sqft,90806,33.797548,-118.196654,2081562821,https://www.zillow.com/homedetails/2222-Eucalyptus-Ave-2222-Long-Beach-CA-90806/2081562821_zpid/
130,1241 Dawson Ave APT 9,"$1,125/m",Studio1 ba 400 sqft,90804,33.782032,-118.16578,2081562908,https://www.zillow.com/homedetails/1241-Dawson-Ave-APT-9-Long-Beach-CA-90804/2081562908_zpid/
131,5500 Ackerfield Ave UNIT 506,"$2,850/m","3 bds 2 ba 1,025 sqft",90805,33.857368,-118.162521,21169756,https://www.zillow.com/homedetails/5500-Ackerfield-Ave-UNIT-506-Long-Beach-CA-90805/21169756_zpid/
132,835 Newport Ave,"$3,200/m","3 bds 2 ba 1,100 sqft",90804,33.777853,-118.151637,21225965,https://www.zillow.com/homedetails/835-Newport-Ave-Long-Beach-CA-90804/21225965_zpid/
133,1445-1501 E 4th Street  1445-1501 E 4th St,"$1,295 S","tudio$1,550 1 bd",90802,33.772,-118.17331,2081809902,https://www.zillow.com/homedetails/1445-1501-E-4th-St-4-Long-Beach-CA-90802/2081809902_zpid/
134,941 E 20th St # 1,"$2,295/m","2 bds 1 ba 1,100 sqft",90806,33.793712,-118.180919,2082312552,https://www.zillow.com/homedetails/941-E-20th-St-1-Long-Beach-CA-90806/2082312552_zpid/
136,1214 Belmont Ave,"$1,800/m",2 bds 1 ba 805 sqft,90804,33.781964,-118.144478,21222252,https://www.zillow.com/homedetails/1214-Belmont-Ave-Long-Beach-CA-90804/21222252_zpid/
140,440 Orange Avenue  440 Orange Ave,"$1,495 1"," bd$1,795 2 bds ",90802,33.772692,-118.175745,2081565041,https://www.zillow.com/homedetails/440-Orange-Ave-APT-11-Long-Beach-CA-90802/2081565041_zpid/
141,315 Gladys Ave APT 2,"$1,895/m",2 bds 1 ba 900 sqft,90814,33.768641,-118.158156,2094180389,https://www.zillow.com/homedetails/315-Gladys-Ave-APT-2-Long-Beach-CA-90814/2094180389_zpid/
143,3428 E 1st Street  3428 E 1st St,"$1,950 1"," bd$2,550 2 bds ",90803,33.761787,-118.151655,2091732414,https://www.zillow.com/homedetails/3428-E-1st-St-APT-1-Long-Beach-CA-90803/2091732414_zpid/
144,1151 Walnut Ave APT 30,"$1,600/m",2 bds 1 ba 665 sqft,90813,33.781309,-118.172648,2081565309,https://www.zillow.com/homedetails/1151-Walnut-Ave-APT-30-Long-Beach-CA-90813/2081565309_zpid/
145,827 Temple Ave,"$3,100/m","3 bds 2 ba 1,150 sqft",90804,33.777443,-118.158932,2081565587,https://www.zillow.com/homedetails/827-Temple-Ave-Long-Beach-CA-90804/2081565587_zpid/
147,3826 E 1st Street D # 3826D,"$1,295/m",Studio1 ba -- sqft,90803,33.761119,-118.147367,2081565866,https://www.zillow.com/homedetails/3826-E-1st-Street-D-3826D-Long-Beach-CA-90803/2081565866_zpid/
148,141 Park Ave,"$4,395/m","3 bds 1.5 ba 1,925 sqft",90803,33.759912,-118.139314,21224563,https://www.zillow.com/homedetails/141-Park-Ave-Long-Beach-CA-90803/21224563_zpid/
149,1739 E Broadway # 10,"$2,300/m",2 bds 2 ba 986 sqft,90802,33.767928,-118.170421,21238283,https://www.zillow.com/homedetails/1739-E-Broadway-10-Long-Beach-CA-90802/21238283_zpid/
150,5206 Marina Pacifica Dr S,"$2,795+ ","1 bd$3,100+ 2 bds $4,000 3 bds ",90803,33.759619,-118.116591,21214511,https://www.zillow.com/homedetails/5206-Marina-Pacifica-Dr-S-Long-Beach-CA-90803/21214511_zpid/
151,1203 E Florida St,"$1,225+ ",Studio,90802,33.770943,-118.176155,2090338275,https://www.zillow.com/homedetails/1203-E-Florida-St-Long-Beach-CA-90802/2090338275_zpid/
152,3617 E 4th St APT 3,"$1,625/m",1 bd1 ba 550 sqft,90814,33.771958,-118.149727,2081589587,https://www.zillow.com/homedetails/3617-E-4th-St-APT-3-Long-Beach-CA-90814/2081589587_zpid/
153,670 Quincy Ave,"$2,175/m","2 bds 1.5 ba 1,200 sqft",90814,33.774864,-118.139053,21213973,https://www.zillow.com/homedetails/670-Quincy-Ave-Long-Beach-CA-90814/21213973_zpid/
154,901 Linden Ave APT 3,"$1,495/m",1 bd1 ba 581 sqft,90813,33.778002,-118.186733,21236761,https://www.zillow.com/homedetails/901-Linden-Ave-APT-3-Long-Beach-CA-90813/21236761_zpid/
155,850 E Ocean Blvd,"$2,695 1"," bd$4,000+ 2 bds $6,000 3 bds ",90802,33.765611,-118.182071,2130645092,https://www.zillow.com/homedetails/850-E-Ocean-Blvd-Long-Beach-CA-90802/2130645092_zpid/
156,5585 E Pacific Coast Hwy,"$1,450 S","tudio$1,595 1 bd",90804,33.776449,-118.123396,2112334432,https://www.zillow.com/homedetails/5585-E-Pacific-Coast-Hwy-Long-Beach-CA-90804/2112334432_zpid/
157,927 Gladys Ave,"$1,300/m",1 bd1 ba -- sqft,90804,33.778666,-118.157847,2085837737,https://www.zillow.com/homedetails/927-Gladys-Ave-Long-Beach-CA-90804/2085837737_zpid/
